1、序号,2、您的性别:,3、您的年龄：,4、您目前所在的学校类型：,5、学校属于教研体系建设县（市、区）教研项目（中山小榄）中哪一类：,6、本学期，您任教的学科是:,7、您的教龄（正式教学年限）：,8、您是否担任过以下职务（可多选）：(备课组长),8、(教研组长),8、(教务主任/教学副校长),8、(校本课程开发负责人),8、(暂无担任),9、您是否参加过与“课程领导力”相关的教师培训或课题项目？,10、您的最高学历：,11、您目前的职称：,12、您当前任教的学校名称是：,13、您最高学历所学的专业类别是?,14、您是否是师范类专业毕业?,15、您的岗位性质是:,16、您目前任教的年级是:【可多选】(小学一年级),16、(小学二年级),16、(小学三年级),16、(小学四年级),16、(小学五年级),16、(小学六年级),16、(初一),16、(初二),16、(初三),16、(高一),16、(高二),16、(高三),17、您在本学期是否担任班主任:,创新教学观总分,创造力效能感总分,创造性教学情况总分,创造力成长观总分
1760,2,2,1,3,4,2,0,0,0,0,1,2,2,1,37,2,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,57,24,111,26
1761,2,2,1,2,1,3,0,0,0,0,1,2,2,4,20,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,72,24,111,34
1762,2,2,1,2,3,3,0,0,0,0,1,1,2,1,36,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,2,68,20,98,32
1763,2,2,1,1,1,3,0,0,0,0,1,2,2,2,37,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,91,20,140,41
1764,2,2,2,2,7,1,0,0,0,0,1,2,3,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,69,20,83,35
1765,2,1,2,2,2,1,0,0,0,0,1,2,2,1,1,2,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,57,16,111,29
1766,1,3,1,2,2,4,0,0,0,0,1,1,2,4,36,2,1,6,0,0,0,0,0,1,0,0,0,0,0,0,2,61,16,92,30
1767,2,4,2,2,6,5,0,0,1,0,0,2,2,2,1,2,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,64,22,104,35
1768,2,3,1,3,1,4,0,0,0,0,1,2,2,1,37,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,64,24,140,37
1769,2,2,1,2,3,2,0,0,0,0,1,2,2,1,20,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,2,57,15,84,29
1770,1,1,1,3,1,2,0,0,0,0,1,2,2,1,37,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,54,24,112,30
1771,2,5,1,2,1,6,0,0,1,0,0,2,2,3,15,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,54,24,132,30
1772,2,2,1,3,12,3,0,0,0,0,1,2,2,1,37,4,2,2,1,1,1,1,0,0,0,0,0,0,0,0,2,77,24,105,35
1773,2,1,1,1,1,2,0,0,0,0,1,2,2,1,37,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,78,17,121,33
1774,2,1,2,2,3,1,0,0,0,0,1,2,2,1,1,1,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,80,24,112,31
1775,2,1,2,2,10,1,0,0,0,0,1,2,2,1,1,2,1,6,0,0,0,0,0,0,1,0,0,0,0,0,2,72,19,102,30
1776,2,5,1,3,8,6,1,0,0,0,0,2,2,2,37,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,54,16,102,32
1777,2,2,1,3,12,3,0,0,0,0,1,2,2,4,37,4,2,6,1,0,0,1,1,1,0,0,0,0,0,0,2,60,20,91,29
1778,2,5,1,2,2,6,0,0,0,0,1,1,2,2,36,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,74,17,136,40
1779,2,3,1,2,12,4,0,0,0,0,1,2,2,2,20,4,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,72,17,110,36
1780,2,2,1,2,1,4,0,0,0,0,1,2,2,1,20,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,60,16,84,30
1781,2,5,1,2,1,6,0,0,0,0,1,1,2,2,36,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,81,20,112,40
1782,2,3,1,2,1,3,0,0,0,0,1,2,2,1,15,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,58,20,123,30
1783,1,2,1,2,11,3,0,0,0,0,1,1,2,4,36,5,1,6,1,1,0,0,0,1,0,0,0,0,0,0,2,92,21,137,45
1784,2,4,1,1,2,6,0,0,0,0,1,2,2,2,29,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,96,24,140,38
1785,2,2,1,3,12,2,0,0,0,0,1,2,2,1,37,4,2,6,0,1,1,1,1,0,0,0,0,0,0,0,2,82,20,112,40
1786,2,3,1,2,1,4,0,0,0,0,1,2,2,1,15,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,54,24,107,30
1787,1,6,1,3,2,6,1,1,1,1,0,1,2,3,15,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,79,28,140,50
1788,2,2,1,3,2,4,0,0,0,0,1,1,2,2,36,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,65,16,112,32
1789,2,5,1,1,1,6,0,0,0,0,1,2,2,3,15,2,2,2,0,0,0,0,1,0,0,0,0,0,0,0,1,72,24,112,30
1790,2,5,1,2,2,6,0,0,0,0,1,2,2,2,11,3,2,2,0,1,0,1,0,0,0,0,0,0,0,0,2,77,28,139,31
1791,2,4,2,2,2,2,0,0,0,0,1,2,2,1,1,2,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,72,21,103,42
1792,1,6,1,2,1,6,0,0,0,0,1,1,2,2,36,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,74,22,122,28
1793,2,2,1,3,1,3,0,0,0,0,1,2,2,4,15,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,59,17,126,32
1794,2,1,1,1,2,1,0,0,0,0,1,2,2,1,37,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,70,17,106,37
1795,1,6,1,2,14,6,0,1,0,0,0,2,2,2,15,2,1,2,0,0,1,1,1,1,0,0,0,0,0,0,1,51,24,131,30
1796,2,3,1,2,11,4,0,0,0,0,1,2,3,2,20,5,2,2,1,0,1,0,0,0,0,0,0,0,0,0,2,51,28,112,34
1797,1,6,1,3,2,6,0,0,0,0,1,2,2,2,20,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,54,24,84,30
1798,2,2,1,3,12,3,0,0,0,0,1,2,2,1,15,4,1,3,1,0,1,0,0,1,0,0,0,0,0,0,2,58,24,86,30
1799,1,2,1,3,1,3,1,0,0,0,0,2,2,1,37,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,71,20,112,40
1800,1,1,1,2,11,2,0,0,0,0,1,2,2,1,15,5,1,3,1,1,0,1,0,1,0,0,0,0,0,0,2,85,24,122,43
1801,2,6,1,2,16,6,0,0,0,0,1,1,2,3,36,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,82,13,110,37
1802,1,6,1,3,2,6,0,0,0,0,1,2,2,2,15,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,54,24,112,30
1803,2,2,1,2,2,3,0,0,0,0,1,1,2,1,15,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,1,79,23,107,38
1804,2,3,1,1,1,3,0,0,0,0,1,2,2,4,37,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,86,17,85,34
1805,1,6,1,2,1,6,0,0,0,0,1,2,1,2,31,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,2,56,20,113,31
1806,1,6,1,2,2,6,1,1,0,0,0,1,2,3,15,6,1,2,0,0,0,1,1,1,0,0,0,0,0,0,2,85,16,110,30
1807,2,6,1,3,1,6,0,0,0,0,1,2,1,2,15,6,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,86,28,140,44
1808,2,1,1,2,1,1,0,0,0,0,1,2,2,1,20,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,72,20,115,30
1809,1,2,1,2,11,3,0,0,0,0,1,1,2,4,36,5,1,6,1,0,0,0,1,0,0,0,0,0,0,0,2,71,16,92,32
1810,2,2,1,3,2,2,0,0,0,0,1,2,2,1,37,6,2,5,0,0,0,1,0,0,0,0,0,0,0,0,2,65,17,140,35
1811,1,6,1,2,11,6,0,0,0,0,1,2,2,2,20,6,2,2,1,0,0,1,1,1,0,0,0,0,0,0,1,77,28,137,45
1812,2,4,1,2,2,5,0,0,0,0,1,2,3,2,20,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,68,17,88,40
1813,2,2,1,2,2,2,0,0,0,0,1,2,2,1,15,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,2,72,12,95,39
1814,2,3,1,3,1,4,0,1,0,0,0,1,2,2,15,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,78,24,139,50
1815,2,2,1,3,1,2,1,0,0,0,0,2,2,4,37,1,2,6,0,0,0,0,1,0,0,0,0,0,0,0,1,69,20,104,44
1816,1,5,1,3,4,6,0,0,0,0,1,2,2,2,15,5,1,2,0,0,1,1,1,0,0,0,0,0,0,0,2,54,24,112,36
1817,2,6,1,1,13,6,1,1,0,0,0,2,1,2,15,4,1,2,1,0,1,0,0,1,0,0,0,0,0,0,2,55,24,128,31
1818,2,4,1,2,2,5,0,0,0,0,1,2,3,2,15,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,84,18,140,42
1819,2,4,1,2,1,5,0,0,0,0,1,1,2,1,36,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,54,24,112,38
1820,1,1,1,3,11,1,0,0,0,0,1,2,2,1,37,5,1,3,1,0,0,1,0,0,0,0,0,0,0,0,2,89,20,118,32
1821,2,3,1,2,12,4,0,0,0,0,1,2,2,1,15,4,1,6,0,1,0,1,0,0,0,0,0,0,0,0,2,66,16,84,30
1822,2,3,1,1,1,5,0,0,0,0,1,1,2,2,15,1,1,2,0,1,1,0,0,0,0,0,0,0,0,0,1,51,28,140,30
1823,1,5,1,2,11,6,0,0,1,0,0,1,2,3,15,5,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,94,28,140,42
1824,2,6,1,2,1,6,0,0,0,0,1,2,2,2,15,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,83,23,130,43
1825,2,6,1,3,1,6,1,0,0,0,0,2,2,3,15,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,86,25,140,38
1826,1,2,1,3,1,4,0,0,0,0,1,1,2,1,37,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,1,54,24,103,30
1827,2,4,1,3,1,6,0,1,0,0,0,2,2,2,37,1,2,3,0,0,0,0,1,0,0,0,0,0,0,0,2,105,28,140,44
1828,2,6,1,3,16,6,0,0,0,0,1,2,2,2,15,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,68,12,95,33
1829,1,2,1,3,2,3,1,0,0,0,0,1,2,4,37,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,70,20,98,35
1830,2,3,1,2,2,4,0,0,0,0,1,2,2,4,15,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,70,17,109,30
1831,2,2,1,1,1,2,0,0,0,0,1,2,2,1,37,1,2,3,1,0,0,0,0,0,0,0,0,0,0,0,1,56,12,98,30
1832,2,2,1,3,11,3,0,0,0,0,1,2,3,1,30,5,2,2,1,1,0,1,1,0,0,0,0,0,0,0,2,54,24,112,38
1833,2,4,1,2,1,5,1,1,0,0,0,2,3,2,20,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,54,24,140,31
1834,2,5,1,2,2,5,0,0,0,0,1,2,2,1,36,2,1,6,1,0,0,0,0,0,0,0,0,0,0,0,1,86,24,95,36
1835,2,2,1,2,1,2,0,0,0,0,1,2,2,1,36,1,2,6,1,0,0,0,0,0,0,0,0,0,0,0,2,78,20,115,38
1836,1,6,1,3,1,6,0,0,0,0,1,2,2,2,15,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,87,24,140,36
1837,1,2,1,3,1,2,0,0,0,0,1,1,2,2,37,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,51,20,84,30
1838,2,6,1,2,1,6,0,0,0,0,1,2,2,2,15,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,66,16,138,29
1839,2,2,1,2,2,1,0,0,0,0,1,2,2,1,15,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,72,24,140,40
1840,2,3,1,2,13,4,0,0,0,0,1,2,2,1,11,4,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,73,20,112,32
1841,1,5,2,3,11,6,1,1,0,0,0,2,2,2,8,5,1,2,0,0,0,0,0,0,0,0,1,0,0,0,2,72,26,120,46
1842,2,5,1,3,1,5,0,1,0,0,0,1,4,2,37,1,2,2,0,0,0,1,0,0,0,0,0,0,0,0,1,97,28,134,39
1843,2,1,2,2,1,2,0,0,0,0,1,2,2,1,1,1,2,6,0,0,0,0,0,0,0,1,0,0,0,0,1,54,24,111,30
1844,1,2,1,3,11,3,0,0,0,0,1,2,2,4,10,5,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,54,24,107,35
1845,2,2,2,2,3,4,0,0,0,0,1,2,2,1,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,1,54,24,112,32
1846,2,4,2,2,2,5,1,0,0,0,0,2,2,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,54,24,112,30
1847,2,4,1,2,2,5,0,0,0,0,1,2,2,2,15,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,67,17,106,32
1848,2,2,1,1,1,4,0,0,0,0,1,2,2,1,37,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,82,24,128,38
1849,2,3,1,2,3,3,0,0,0,0,1,2,2,1,15,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,90,24,108,37
1850,2,3,2,1,10,3,0,0,0,0,1,2,3,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,63,24,112,30
1851,2,2,1,1,3,3,1,0,0,0,0,2,2,1,37,1,2,2,0,0,1,1,0,0,0,0,0,0,0,0,2,100,28,138,39
1852,2,1,2,2,3,2,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,2,71,22,104,39
1853,2,2,1,2,15,2,0,0,0,0,1,2,3,1,15,1,2,2,0,1,1,1,1,1,0,0,0,0,0,0,2,90,24,112,40
1854,2,4,1,3,2,4,0,0,0,0,1,2,2,4,37,6,1,3,0,0,0,1,0,0,0,0,0,0,0,0,2,82,24,110,40
1855,2,1,2,2,8,1,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,102,20,132,42
1856,2,2,2,2,7,3,0,0,0,0,1,2,2,4,1,2,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,62,20,112,34
1857,2,3,2,2,3,4,1,0,0,0,0,2,2,1,1,1,1,4,0,0,0,0,0,0,0,1,0,0,0,0,2,61,18,86,29
1858,1,2,2,2,1,4,1,0,0,0,0,2,2,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,66,16,140,30
1859,1,2,1,3,11,2,0,0,0,0,1,2,2,1,37,5,1,6,0,1,1,0,1,0,0,0,0,0,0,0,2,75,20,97,30
1860,2,5,1,3,3,5,1,0,0,0,0,2,2,1,15,1,2,3,0,0,1,0,0,1,0,0,0,0,0,0,2,59,20,112,33
1861,2,2,1,2,11,2,0,0,0,0,1,1,2,4,11,5,2,6,1,1,1,1,0,0,0,0,0,0,0,0,2,74,24,139,37
1862,2,6,1,2,3,6,1,1,0,0,0,2,1,3,15,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,105,27,139,46
1863,2,1,2,2,2,2,0,0,0,0,1,2,2,1,1,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,70,23,109,38
1864,2,2,1,2,1,1,0,0,0,0,1,2,2,1,15,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,73,14,123,35
1865,1,4,1,2,11,6,0,0,0,0,1,2,2,2,15,5,1,2,1,0,1,0,1,0,0,0,0,0,0,0,2,60,16,85,30
1866,2,3,1,2,12,5,0,0,0,1,0,2,2,2,15,4,1,2,1,0,1,0,1,1,0,0,0,0,0,0,2,64,16,112,30
1867,2,2,2,2,5,2,0,0,0,0,1,2,3,1,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,66,17,112,30
1868,2,6,1,2,16,6,1,0,0,0,0,1,2,3,15,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,62,8,106,27
1869,2,3,1,3,1,5,0,0,0,0,1,2,2,2,23,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,81,28,140,45
1870,2,3,1,3,1,5,1,0,0,0,0,2,2,4,37,1,1,6,0,0,1,0,0,0,0,0,0,0,0,0,1,63,21,114,31
1871,1,6,1,2,2,6,0,0,0,0,1,2,1,2,15,6,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,60,20,107,31
1872,2,2,2,2,9,4,0,0,0,0,1,2,2,1,1,1,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,66,21,133,38
1873,2,4,1,2,2,5,0,0,0,0,1,1,2,1,15,6,1,3,0,1,0,0,0,0,0,0,0,0,0,0,1,80,17,102,36
1874,2,2,2,2,3,3,0,0,0,0,1,2,2,1,1,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,46,20,104,28
1875,1,2,1,2,11,2,0,0,0,0,1,2,2,4,37,5,2,6,0,1,1,0,0,0,0,0,0,0,0,0,2,55,22,106,29
1876,2,6,1,1,1,6,0,0,0,0,1,1,2,3,37,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,73,20,114,31
1877,2,1,1,2,1,1,0,0,0,0,1,2,2,1,15,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,53,18,104,37
1878,2,4,1,3,3,5,0,0,0,0,1,2,2,2,15,1,2,6,0,0,1,1,0,0,0,0,0,0,0,0,2,93,28,140,50
1879,1,5,2,2,2,6,1,0,0,0,0,2,3,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,86,28,137,43
1880,2,2,1,2,2,4,0,0,0,0,1,2,2,1,20,2,2,3,1,0,0,0,0,0,0,0,0,0,0,0,2,66,20,84,33
1881,2,1,1,3,2,1,0,0,0,0,1,2,2,1,37,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,73,26,115,34
1882,2,3,2,2,13,4,0,0,0,0,1,1,2,2,1,4,1,2,0,0,0,0,0,0,1,1,0,0,0,0,2,91,23,122,31
1883,1,6,1,2,14,6,0,1,0,0,0,2,2,3,38,2,1,6,0,0,1,1,0,0,0,0,0,0,0,0,2,77,20,108,36
1884,2,2,1,2,1,3,0,0,0,0,1,2,2,2,15,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,1,68,20,140,36
1885,2,3,1,3,1,3,1,0,0,0,0,1,2,4,37,2,2,6,0,0,0,0,1,0,0,0,0,0,0,0,1,72,16,97,30
1886,2,3,1,2,1,4,0,0,0,0,1,2,2,2,36,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,1,88,28,122,41
1887,1,2,2,2,1,4,0,0,0,0,1,2,2,1,1,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,57,19,84,30
1888,1,6,1,2,1,6,0,1,0,0,0,2,2,2,15,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,90,24,123,41
1889,1,6,1,2,13,6,0,0,0,0,1,1,2,2,15,4,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,59,20,85,30
1890,2,2,2,2,5,1,0,0,0,0,1,2,2,1,1,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,1,75,28,131,30
1891,2,6,1,2,2,6,0,1,0,0,0,2,2,3,37,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,90,23,102,36
1892,2,1,2,2,1,2,0,0,0,0,1,2,2,1,1,1,2,3,0,0,0,0,0,0,1,0,0,0,0,0,2,60,16,84,30
1893,2,1,1,2,1,2,0,0,0,0,1,1,2,1,15,1,2,3,0,1,0,0,0,0,0,0,0,0,0,0,1,54,24,112,30
1894,2,3,1,2,13,4,0,0,0,0,1,2,4,2,15,4,2,2,1,0,0,1,1,0,0,0,0,0,0,0,2,61,20,140,33
1895,1,6,1,3,12,6,0,0,0,1,1,2,2,2,11,4,1,2,0,0,1,1,1,1,0,0,0,0,0,0,2,69,20,104,40
1896,2,3,2,2,3,3,0,0,0,0,1,2,2,1,1,1,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,76,20,133,34
1897,2,2,2,2,7,2,0,0,0,0,1,1,4,1,1,2,2,6,0,0,0,0,0,0,0,1,0,0,0,0,1,54,24,112,30
1898,2,2,2,2,3,4,0,0,0,0,1,2,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,1,73,21,97,37
1899,2,4,2,3,10,5,1,0,0,0,0,2,2,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,2,57,16,101,30
1900,1,3,2,2,10,5,1,1,0,0,0,2,2,2,1,2,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,57,21,98,30
1901,2,1,2,2,8,1,0,0,0,0,1,2,2,1,1,1,1,5,0,0,0,0,0,0,1,0,0,0,0,0,2,68,20,77,31
1902,2,3,1,2,1,4,1,0,0,0,0,1,3,2,15,1,1,2,1,1,0,0,1,0,0,0,0,0,0,0,1,79,24,115,40
1903,2,2,2,2,1,2,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,75,18,103,30
1904,1,6,1,2,11,6,0,0,0,0,1,2,1,2,15,5,1,2,0,1,0,1,0,1,0,0,0,0,0,0,2,75,18,84,39
1905,1,6,1,3,1,6,0,0,0,0,1,2,2,1,23,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,68,18,103,33
1906,2,4,2,3,5,3,0,0,0,0,1,2,4,1,1,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,2,69,23,119,47
1907,1,4,1,3,4,6,0,0,0,0,1,2,2,2,38,2,1,4,0,0,1,1,0,0,0,0,0,0,0,0,2,56,28,140,30
1908,2,5,1,2,3,6,1,1,0,1,0,2,2,3,38,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,2,79,24,128,36
1909,1,6,1,2,2,6,0,0,1,0,0,2,2,3,38,1,1,6,0,0,0,0,1,0,0,0,0,0,0,0,2,80,28,139,28
1910,2,6,1,2,8,6,1,1,0,0,0,2,2,2,38,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,2,92,18,133,37
1911,2,2,2,2,9,3,1,0,0,0,0,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,1,71,18,112,31
1912,2,6,1,3,1,6,0,0,1,0,0,2,2,3,15,6,1,2,0,1,0,0,0,0,0,0,0,0,0,0,2,89,26,122,38
1913,2,2,1,2,12,1,0,0,0,0,1,1,3,1,1,4,1,3,0,0,0,0,0,0,0,1,1,0,0,0,2,74,24,100,38
1914,1,5,1,2,14,6,0,1,0,1,0,2,2,3,38,2,1,4,0,1,0,0,1,1,0,0,0,0,0,0,1,53,25,108,34
1915,2,1,2,2,3,2,0,0,0,0,1,2,2,1,1,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,62,24,112,30
1916,2,1,2,2,9,2,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,58,23,116,35
1917,2,2,1,2,1,3,0,0,0,0,1,1,2,1,15,1,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,72,18,99,35
1918,1,4,1,1,11,5,0,1,0,0,0,1,4,3,14,5,1,2,1,1,0,0,0,1,0,0,0,0,0,0,2,86,28,136,34
1919,2,5,1,2,2,6,0,0,0,0,1,2,2,3,15,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,2,84,8,138,29
1920,2,3,1,1,13,4,0,0,0,0,1,2,2,4,24,4,2,2,0,0,1,1,1,1,0,0,0,0,0,0,2,61,20,113,30
1921,1,1,2,2,11,1,0,0,0,0,1,2,2,1,1,5,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,67,24,112,36
1922,1,3,2,2,8,1,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,103,28,127,48
1923,2,1,2,2,2,2,0,0,0,0,1,2,2,1,1,2,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,71,28,115,36
1924,2,3,1,1,1,4,1,0,0,0,0,2,2,1,24,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,62,25,140,41
1925,2,2,1,1,14,2,0,0,0,0,1,2,2,4,24,2,1,2,0,0,0,1,1,1,0,0,0,0,0,0,2,53,24,121,31
1926,1,1,1,1,1,2,1,0,0,0,0,2,2,1,24,1,1,2,0,1,0,0,1,0,0,0,0,0,0,0,1,83,25,135,40
1927,2,2,1,1,12,3,0,0,0,0,1,2,2,4,24,4,2,6,0,1,1,0,0,1,0,0,0,0,0,0,2,81,20,134,36
1928,2,2,2,2,2,2,0,0,0,0,1,2,2,1,1,2,2,3,0,0,0,0,0,0,0,1,0,0,0,0,2,71,28,140,32
1929,2,1,2,2,3,1,0,0,0,0,1,2,2,1,1,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0,2,77,21,98,31
1930,1,5,1,1,16,6,0,0,0,0,1,2,2,3,45,4,1,2,0,0,1,1,1,1,0,0,0,0,0,0,2,57,20,112,26
1931,2,4,1,1,3,6,1,0,0,0,0,2,2,2,38,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,2,65,24,136,33
1932,1,2,1,1,11,4,0,1,0,0,0,1,2,4,24,5,1,2,0,0,1,1,0,1,0,0,0,0,0,0,2,84,24,112,40
1933,2,5,1,1,2,3,1,0,0,0,0,1,2,2,24,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,1,54,24,115,30
1934,2,1,1,3,1,1,0,0,0,0,1,2,2,1,10,1,2,3,0,0,0,1,0,0,0,0,0,0,0,0,1,64,20,106,33
1935,1,6,1,1,4,6,0,1,0,0,1,1,2,2,24,1,1,2,0,0,0,1,1,0,0,0,0,0,0,0,1,54,24,84,30
1936,1,2,1,1,11,3,0,0,0,0,1,2,2,1,24,5,1,2,0,1,1,0,0,0,0,0,0,0,0,0,2,57,20,84,30
1937,2,5,1,2,1,6,1,1,0,0,0,1,2,2,36,1,1,2,0,0,1,0,1,1,0,0,0,0,0,0,2,87,16,112,37
1938,2,2,1,1,1,3,0,0,0,0,1,1,2,1,24,1,1,6,0,1,0,0,0,0,0,0,0,0,0,0,1,65,17,105,34
1939,2,3,1,1,1,3,1,0,0,0,0,2,2,4,24,1,2,6,0,0,0,1,0,0,0,0,0,0,0,0,1,69,24,84,30
1940,2,2,1,1,3,2,0,0,0,0,1,2,2,1,24,1,2,2,0,0,0,0,0,1,0,0,0,0,0,0,2,59,28,111,32
1941,1,3,1,2,3,4,0,0,0,0,1,1,2,1,38,1,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,82,26,140,38
1942,1,2,2,2,11,4,0,0,0,0,1,2,2,2,1,5,1,6,0,0,0,0,0,0,0,1,0,0,0,0,2,57,20,84,30
1943,2,3,1,1,3,5,0,0,0,0,1,1,2,2,24,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,2,61,16,113,33
1944,1,6,1,3,4,6,0,0,0,0,1,2,2,2,15,6,1,2,0,1,0,1,1,1,0,0,0,0,0,0,2,66,16,140,28
